,0,1,2,3
0,12.0,12.0,0.004525,0.848554
1,11.0,11.0,0.00905,0.827702
2,10.0,10.0,0.013575,0.804186
3,9.0,9.0,0.0181,0.774429
4,8.0,8.0,0.022625,0.751027
5,7.0,7.0,0.02715,0.717884
6,6.0,6.0,0.031675,0.698554
7,12.0,11.0,0.034692,0.675419
8,12.0,10.0,0.037709,0.670129
9,5.0,5.0,0.042234,0.664498
10,12.0,9.0,0.045251,0.658105
11,11.0,12.0,0.0543,0.651408
12,12.0,8.0,0.057317,0.648668
13,10.0,12.0,0.066366,0.645091
14,8.0,12.0,0.075415,0.637671
15,4.0,4.0,0.07994,0.636948
16,12.0,7.0,0.082957,0.634094
17,11.0,10.0,0.085974,0.632458
18,9.0,12.0,0.095023,0.628425
19,11.0,9.0,0.09804,0.625913
20,12.0,6.0,0.101057,0.621119
21,10.0,11.0,0.110106,0.616971
22,9.0,11.0,0.119155,0.61621
23,12.0,5.0,0.122172,0.615411
24,11.0,8.0,0.125189,0.613889
25,7.0,12.0,0.134238,0.609209
26,3.0,3.0,0.138763,0.608409
27,12.0,4.0,0.14178,0.603349
28,10.0,9.0,0.144797,0.603044
29,11.0,7.0,0.147814,0.602055
30,10.0,8.0,0.150831,0.600228
31,6.0,12.0,0.15988,0.595358
32,12.0,3.0,0.162897,0.59433
33,8.0,11.0,0.171946,0.590906
34,11.0,6.0,0.174963,0.589346
35,9.0,10.0,0.184012,0.58691
36,12.0,2.0,0.187029,0.584589
37,5.0,12.0,0.196078,0.582915
38,10.0,7.0,0.199095,0.58261
39,8.0,10.0,0.208144,0.581773
40,7.0,11.0,0.217193,0.581697
41,12.0,1.0,0.22021,0.58086
42,9.0,8.0,0.223227,0.580594
43,4.0,12.0,0.232276,0.578349
44,11.0,5.0,0.235293,0.573288
45,9.0,7.0,0.23831,0.571271
46,11.0,4.0,0.241327,0.569825
47,3.0,12.0,0.250376,0.569482
48,2.0,2.0,0.254901,0.568455
49,12.0,0.0,0.257918,0.567504
50,6.0,11.0,0.266967,0.560122
51,7.0,10.0,0.276016,0.559247
52,5.0,11.0,0.285065,0.559056
53,10.0,6.0,0.288082,0.555784
