,0,1,2,3,4,5,6,7,8,9,10,11,12
0,85,168,167,166,162,164,153,150,133,117,103,82,61
1,163,66,165,160,157,159,155,145,132,116,104,81,58
2,161,152,48,156,151,147,146,137,123,108,93,75,56
3,158,148,142,26,138,141,136,129,120,101,89,72,47
4,154,143,134,128,15,131,126,119,109,102,77,62,43
5,149,140,135,125,113,9,114,110,98,88,74,52,37
6,139,144,127,118,106,97,6,96,91,78,67,50,31
7,130,124,122,115,105,92,83,5,79,71,51,40,25
8,121,112,111,107,95,84,68,64,4,55,39,33,14
9,100,99,94,90,80,73,59,45,42,3,35,22,18
10,86,87,76,69,65,60,53,38,30,28,2,21,13
11,70,63,57,54,46,44,34,29,24,19,17,1,11
12,49,41,36,32,27,23,20,16,12,10,8,7,0
